1:0 = Stone =  Stone (#0001)
408:0 = Minecart with Hopper =  Minecart with Hopper (#0408)
450:0 = Detector - Item =  Detector - Item (#0450/0)
450:1 = Detector - Any =  Detector - Any (#0450/1)
450:2 = Detector - Empty =  Detector - Empty (#0450/2)
450:3 = Detector - Mob =  Detector - Mob (#0450/3)
450:4 = Detector - Powered =  Detector - Powered (#0450/4)
450:5 = Detector - Player =  Detector - Player (#0450/5)
450:6 = Detector - Explosive =  Detector - Explosive (#0450/6)
450:7 = Detector - Animal =  Detector - Animal (#0450/7)
450:8 = Detector - Tank =  Detector - Tank (#0450/8)
450:9 = Detector - Advanced =  Detector - Advanced (#0450/9)
450:10 = Detector - Energy =  Detector - Energy (#0450/10)
450:11 = Detector - Age =  Detector - Age (#0450/11)
450:12 = Detector - Train =  Detector - Train (#0450/12)
450:13 = Detector - Sheep =  Detector - Sheep (#0450/13)
450:14 = Detector - Villager =  Detector - Villager (#0450/14)
450:15 = Detector - Locomotive =  Detector - Locomotive (#0450/15)
450:16 = Detector - Routing =  Detector - Routing (#0450/16)
451:7 = Coke Oven Brick =  Coke Oven Brick (#0451/7) Multi-Block: 3x3x3 (Hollow)
451:12 = Blast Furnace Brick =  Blast Furnace Brick (#0451/12) Multi-Block: 3x4x3 (Hollow)
451:3 = Steam Oven =  Steam Oven (#0451/3) Multi-Block: 2x2x2
451:14 = Water Tank Siding =  Water Tank Siding (#0451/14) Multi-Block: 3x3x3 (Hollow)
451:8 = Rolling Machine =  Rolling Machine (#0451/8)
451:15 = Rock Crusher =  Rock Crusher (#0451/15) Multi-Block: 3x2x2
451:11 = Feed Station =  Feed Station (#0451/11)
451:0 = World Anchor =  World Anchor (#0451/0) 0.00 hours
451:2 = Personal Anchor =  Personal Anchor (#0451/2) 0.00 hours
451:4 = Admin Anchor =  Admin Anchor (#0451/4)
451:1 = Steam Turbine Housing =  Steam Turbine Housing (#0451/1) Multi-Block: 3x2x2
451:5 = Smoker =  Smoker (#0451/5)
451:9 = Manual Steam Trap =  Manual Steam Trap (#0451/9)
451:10 = Automated Steam Trap =  Automated Steam Trap (#0451/10)
452:0 = Iron Tank Wall =  Iron Tank Wall (#0452/0) Multi-Block: Variable Size, Hollow Heights: 4, 5, 6, 7, 8 Diameters: 3, 5, 7, 9
452:1 = Iron Tank Gauge =  Iron Tank Gauge (#0452/1) Multi-Block: Variable Size, Hollow Heights: 4, 5, 6, 7, 8 Diameters: 3, 5, 7, 9
452:2 = Iron Tank Valve =  Iron Tank Valve (#0452/2) Multi-Block: Must be in bottom two layers to output liquid.
452:13 = Steel Tank Wall =  Steel Tank Wall (#0452/13) Multi-Block: Variable Size, Hollow Heights: 4, 5, 6, 7, 8 Diameters: 3, 5, 7, 9
452:14 = Steel Tank Gauge =  Steel Tank Gauge (#0452/14) Multi-Block: Variable Size, Hollow Heights: 4, 5, 6, 7, 8 Diameters: 3, 5, 7, 9
452:15 = Steel Tank Valve =  Steel Tank Valve (#0452/15) Multi-Block: Must be in bottom two layers to output liquid.
452:5 = Solid Fueled Boiler Firebox =  Solid Fueled Boiler Firebox (#0452/5) Multi-Block: Variable Size, Bottom Layer Dimensions: 1x1, 2x2, 3x3
452:6 = Liquid Fueled Boiler Firebox =  Liquid Fueled Boiler Firebox (#0452/6) Multi-Block: Variable Size, Bottom Layer Dimensions: 1x1, 2x2, 3x3
452:3 = Low Pressure Boiler Tank =  Low Pressure Boiler Tank (#0452/3) Multi-Block: Variable Size, Above Firebox Dimensions: 1x1x1, 2x2x2, 2x3x2, 3x2x3, 3x3x3, 3x4x3
452:4 = High Pressure Boiler Tank =  High Pressure Boiler Tank (#0452/4) Multi-Block: Variable Size, Above Firebox Dimensions: 1x1x1, 2x2x2, 2x3x2, 3x2x3, 3x3x3, 3x4x3
452:7 = Hobbyist's Steam Engine =  Hobbyist's Steam Engine (#0452/7)
452:8 = Commercial Steam Engine =  Commercial Steam Engine (#0452/8)
452:9 = Industrial Steam Engine =  Industrial Steam Engine (#0452/9)
452:10 = Anchor Sentinel =  Anchor Sentinel (#0452/10)
452:11 = Void Chest =  Void Chest (#0452/11) Deletes Items
453:0 = Item Loader =  Item Loader (#0453/0)
453:1 = Item Unloader =  Item Unloader (#0453/1)
453:2 = Adv. Item Loader =  Adv. Item Loader (#0453/2)
453:3 = Adv. Item Unloader =  Adv. Item Unloader (#0453/3)
453:4 = Liquid Loader =  Liquid Loader (#0453/4)
453:5 = Liquid Unloader =  Liquid Unloader (#0453/5)
453:6 = Energy Loader =  Energy Loader (#0453/6)
453:7 = Energy Unloader =  Energy Unloader (#0453/7)
453:8 = Cart Dispenser =  Cart Dispenser (#0453/8)
453:9 = Train Dispenser =  Train Dispenser (#0453/9)
454:7 = Switch Track =  Switch Track (#0454/7)
454:32 = Wye Track =  Wye Track (#0454/32)
454:6 = Junction Track =  Junction Track (#0454/6)
454:3 = Control Track =  Control Track (#0454/3)
454:0 = Boarding Track =  Boarding Track (#0454/0)
454:20 = Train Boarding Track =  Train Boarding Track (#0454/20) Not for use with Loaders!
454:1 = Holding Track =  Holding Track (#0454/1)
454:21 = Train Holding Track =  Train Holding Track (#0454/21) Not for use with Loaders!
454:36 = Lockdown Track =  Lockdown Track (#0454/36)
454:37 = Train Lockdown Track =  Train Lockdown Track (#0454/37) Not for use with Loaders!
454:8 = Disembarking Track =  Disembarking Track (#0454/8)
454:31 = Embarking Track =  Embarking Track (#0454/31)
454:22 = Coupler Track =  Coupler Track (#0454/22)
454:23 = Decoupler Track =  Decoupler Track (#0454/23)
454:38 = Whistle Track =  Whistle Track (#0454/38)
454:39 = Locomotive Track =  Locomotive Track (#0454/39)
454:40 = Limiter Track =  Limiter Track (#0454/40)
454:41 = Routing Track =  Routing Track (#0454/41)
454:28 = Buffer Stop Track =  Buffer Stop Track (#0454/28)
454:2 = One-Way Track =  One-Way Track (#0454/2)
454:30 = Directional Detector Track =  Directional Detector Track (#0454/30)
454:10 = Gated One-Way Track =  Gated One-Way Track (#0454/10)
454:11 = Gated Track =  Gated Track (#0454/11)
454:9 = Suspended Track =  Suspended Track (#0454/9)
454:29 = Disposal Track =  Disposal Track (#0454/29)
454:12 = Wooden Track =  Wooden Track (#0454/12)
454:13 = Wooden Booster Track =  Wooden Booster Track (#0454/13)
454:14 = Wooden Junction Track =  Wooden Junction Track (#0454/14)
454:15 = Wooden Switch Track =  Wooden Switch Track (#0454/15)
454:33 = Wooden Wye Track =  Wooden Wye Track (#0454/33)
454:24 = Reinforced Track =  Reinforced Track (#0454/24)
454:25 = Reinforced Booster Track =  Reinforced Booster Track (#0454/25)
454:26 = Reinforced Junction Track =  Reinforced Junction Track (#0454/26)
454:27 = Reinforced Switch Track =  Reinforced Switch Track (#0454/27)
454:34 = Reinforced Wye Track =  Reinforced Wye Track (#0454/34)
454:16 = H.S. Track =  H.S. Track (#0454/16)
454:17 = H.S. Booster Track =  H.S. Booster Track (#0454/17)
454:18 = H.S. Transition Track =  H.S. Transition Track (#0454/18)
454:19 = H.S. Switch Track =  H.S. Switch Track (#0454/19)
454:35 = H.S. Wye Track =  H.S. Wye Track (#0454/35)
454:5 = Priming Track =  Priming Track (#0454/5)
454:4 = Launcher Track =  Launcher Track (#0454/4)
455:0 = Elevator Track =  Elevator Track (#0455)
456:4 = Switch Lever =  Switch Lever (#0456/4)
456:2 = Switch Motor =  Switch Motor (#0456/2)
456:5 = Routing Switch Motor =  Routing Switch Motor (#0456/5)
456:3 = Block Signal =  Block Signal (#0456/3)
456:10 = Distant Signal =  Distant Signal (#0456/10)
456:1 = Dual-Head Block Signal =  Dual-Head Block Signal (#0456/1)
456:11 = Dual-Head Distant Signal =  Dual-Head Distant Signal (#0456/11)
456:12 = Signal Block Relay Box =  Signal Block Relay Box (#0456/12)
456:9 = Signal Controller Box =  Signal Controller Box (#0456/9)
456:8 = Signal Receiver Box =  Signal Receiver Box (#0456/8)
456:7 = Signal Capacitor Box =  Signal Capacitor Box (#0456/7)
457:0 = Block of Coal Coke =  Block of Coal Coke (#0457/0)
457:2 = Block of Steel =  Block of Steel (#0457/2)
457:1 = Block of Concrete =  Block of Concrete (#0457/1)
457:4 = Crushed Obsidian =  Crushed Obsidian (#0457/4)
457:6 = Abyssal Stone =  Abyssal Stone (#0457/6)
457:7 = Quarried Stone =  Quarried Stone (#0457/7)
458:0 = Sulfur Ore =  Sulfur Ore (#0458/0)
458:1 = Saltpeter Ore =  Saltpeter Ore (#0458/1)
458:2 = Dark Diamond Ore =  Dark Diamond Ore (#0458/2)
458:3 = Dark Emerald Ore =  Dark Emerald Ore (#0458/3)
458:4 = Dark Lapis Lazuli Ore =  Dark Lapis Lazuli Ore (#0458/4)
459:0 = Wooden Post =  Wooden Post (#0459/0)
459:1 = Stone Post =  Stone Post (#0459/1)
459:2 = Metal Post =  Metal Post (#0459/2)
460:0 = Black Metal Post =  Black Metal Post (#0460/0)
460:1 = Red Metal Post =  Red Metal Post (#0460/1)
460:2 = Green Metal Post =  Green Metal Post (#0460/2)
460:3 = Brown Metal Post =  Brown Metal Post (#0460/3)
460:4 = Blue Metal Post =  Blue Metal Post (#0460/4)
460:5 = Purple Metal Post =  Purple Metal Post (#0460/5)
460:6 = Cyan Metal Post =  Cyan Metal Post (#0460/6)
460:7 = Light Gray Metal Post =  Light Gray Metal Post (#0460/7)
460:8 = Gray Metal Post =  Gray Metal Post (#0460/8)
460:9 = Pink Metal Post =  Pink Metal Post (#0460/9)
460:10 = Lime Metal Post =  Lime Metal Post (#0460/10)
460:11 = Yellow Metal Post =  Yellow Metal Post (#0460/11)
460:12 = Light Blue Metal Post =  Light Blue Metal Post (#0460/12)
460:13 = Magenta Metal Post =  Magenta Metal Post (#0460/13)
460:14 = Orange Metal Post =  Orange Metal Post (#0460/14)
460:15 = White Metal Post =  White Metal Post (#0460/15)
461:0 = Infernal Brick Wall =  Infernal Brick Wall (#0461/0)
461:1 = Sandy Brick Wall =  Sandy Brick Wall (#0461/1)
461:2 = Concrete Wall =  Concrete Wall (#0461/2)
461:3 = Snow Wall =  Snow Wall (#0461/3)
461:4 = Ice Wall =  Ice Wall (#0461/4)
461:5 = Stone Brick Wall =  Stone Brick Wall (#0461/5)
461:6 = Mossy Stone Brick Wall =  Mossy Stone Brick Wall (#0461/6)
461:7 = Cracked Stone Brick Wall =  Cracked Stone Brick Wall (#0461/7)
461:8 = Chiseled Stone Brick Wall =  Chiseled Stone Brick Wall (#0461/8)
461:9 = Nether Brick Wall =  Nether Brick Wall (#0461/9)
461:10 = Brick Wall =  Brick Wall (#0461/10)
461:11 = Sandstone Wall =  Sandstone Wall (#0461/11)
461:12 = Chiseled Sandstone Wall =  Chiseled Sandstone Wall (#0461/12)
461:13 = Smooth Sandstone Wall =  Smooth Sandstone Wall (#0461/13)
461:14 = Obsidian Wall =  Obsidian Wall (#0461/14)
461:15 = Frost Bound Brick Wall =  Frost Bound Brick Wall (#0461/15)
461:16 = Abyssal Brick Wall =  Abyssal Brick Wall (#0461/16)
462:0 = Saltpeter Ore Spawner =  Saltpeter Ore Spawner (#0462)
463:0 = Quartz Wall =  Quartz Wall (#0463/0)
463:1 = Chiseled Quartz Wall =  Chiseled Quartz Wall (#0463/1)
463:2 = Iron Wall =  Iron Wall (#0463/2)
463:3 = Gold Wall =  Gold Wall (#0463/3)
463:4 = Diamond Wall =  Diamond Wall (#0463/4)
463:5 = Abyssal Brick Wall =  Abyssal Brick Wall (#0463/5)
463:6 = Quarried Brick Wall =  Quarried Brick Wall (#0463/6)
463:7 = Blood Stained Brick Wall =  Blood Stained Brick Wall (#0463/7)
463:8 = Bleached Bone Brick Wall =  Bleached Bone Brick Wall (#0463/8)
464:3 = Snow Stairs =  Snow Stairs (#0464/3)
464:4 = Ice Stairs =  Ice Stairs (#0464/4)
464:5 = Iron Stairs =  Iron Stairs (#0464/5)
464:6 = Gold Stairs =  Gold Stairs (#0464/6)
464:7 = Diamond Stairs =  Diamond Stairs (#0464/7)
464:2 = Concrete Stairs =  Concrete Stairs (#0464/2)
464:12 = Abyssal Brick Stairs =  Abyssal Brick Stairs (#0464/12)
464:19 = Fitted Abyssal Stone Stairs =  Fitted Abyssal Stone Stairs (#0464/19)
464:26 = Abyssal Block Stairs =  Abyssal Block Stairs (#0464/26)
464:1 = Infernal Brick Stairs =  Infernal Brick Stairs (#0464/1)
464:14 = Fitted Infernal Stone Stairs =  Fitted Infernal Stone Stairs (#0464/14)
464:21 = Infernal Block Stairs =  Infernal Block Stairs (#0464/21)
464:11 = Blood Stained Brick Stairs =  Blood Stained Brick Stairs (#0464/11)
464:18 = Fitted Blood Stained Stone Stairs =  Fitted Blood Stained Stone Stairs (#0464/18)
464:25 = Blood Stained Block Stairs =  Blood Stained Block Stairs (#0464/25)
464:0 = Sandy Brick Stairs =  Sandy Brick Stairs (#0464/0)
464:13 = Fitted Sandy Stone Stairs =  Fitted Sandy Stone Stairs (#0464/13)
464:20 = Sandy Block Stairs =  Sandy Block Stairs (#0464/20)
464:10 = Bleached Bone Brick Stairs =  Bleached Bone Brick Stairs (#0464/10)
464:17 = Fitted Bleached Bone Stone Stairs =  Fitted Bleached Bone Stone Stairs (#0464/17)
464:24 = Bleached Bone Block Stairs =  Bleached Bone Block Stairs (#0464/24)
464:9 = Quarried Brick Stairs =  Quarried Brick Stairs (#0464/9)
464:16 = Fitted Quarried Stone Stairs =  Fitted Quarried Stone Stairs (#0464/16)
464:23 = Quarried Block Stairs =  Quarried Block Stairs (#0464/23)
464:8 = Frost Bound Brick Stairs =  Frost Bound Brick Stairs (#0464/8)
464:15 = Fitted Frost Bound Stone Stairs =  Fitted Frost Bound Stone Stairs (#0464/15)
464:22 = Frost Bound Block Stairs =  Frost Bound Block Stairs (#0464/22)
465:3 = Snow Slab =  Snow Slab (#0465/3)
465:4 = Ice Slab =  Ice Slab (#0465/4)
465:5 = Iron Slab =  Iron Slab (#0465/5)
465:6 = Gold Slab =  Gold Slab (#0465/6)
465:7 = Diamond Slab =  Diamond Slab (#0465/7)
465:2 = Concrete Slab =  Concrete Slab (#0465/2)
465:12 = Abyssal Brick Slab =  Abyssal Brick Slab (#0465/12)
465:19 = Fitted Abyssal Stone Slab =  Fitted Abyssal Stone Slab (#0465/19)
465:26 = Abyssal Block Slab =  Abyssal Block Slab (#0465/26)
465:1 = Infernal Brick Slab =  Infernal Brick Slab (#0465/1)
465:14 = Fitted Infernal Stone Slab =  Fitted Infernal Stone Slab (#0465/14)
465:21 = Infernal Block Slab =  Infernal Block Slab (#0465/21)
465:11 = Blood Stained Brick Slab =  Blood Stained Brick Slab (#0465/11)
465:18 = Fitted Blood Stained Stone Slab =  Fitted Blood Stained Stone Slab (#0465/18)
465:25 = Blood Stained Block Slab =  Blood Stained Block Slab (#0465/25)
465:0 = Sandy Brick Slab =  Sandy Brick Slab (#0465/0)
465:13 = Fitted Sandy Stone Slab =  Fitted Sandy Stone Slab (#0465/13)
465:20 = Sandy Block Slab =  Sandy Block Slab (#0465/20)
465:10 = Bleached Bone Brick Slab =  Bleached Bone Brick Slab (#0465/10)
465:17 = Fitted Bleached Bone Stone Slab =  Fitted Bleached Bone Stone Slab (#0465/17)
465:24 = Bleached Bone Block Slab =  Bleached Bone Block Slab (#0465/24)
465:9 = Quarried Brick Slab =  Quarried Brick Slab (#0465/9)
465:16 = Fitted Quarried Stone Slab =  Fitted Quarried Stone Slab (#0465/16)
465:23 = Quarried Block Slab =  Quarried Block Slab (#0465/23)
465:8 = Frost Bound Brick Slab =  Frost Bound Brick Slab (#0465/8)
465:15 = Fitted Frost Bound Stone Slab =  Fitted Frost Bound Stone Slab (#0465/15)
465:22 = Frost Bound Block Slab =  Frost Bound Block Slab (#0465/22)
466:0 = Abyssal Brick =  Abyssal Brick (#0466/0)
466:1 = Fitted Abyssal Stone =  Fitted Abyssal Stone (#0466/1)
466:2 = Abyssal Block =  Abyssal Block (#0466/2)
466:3 = Ornate Abyssal Stone =  Ornate Abyssal Stone (#0466/3)
466:4 = Etched Abyssal Stone =  Etched Abyssal Stone (#0466/4)
467:0 = Infernal Brick =  Infernal Brick (#0467/0)
467:1 = Fitted Infernal Stone =  Fitted Infernal Stone (#0467/1)
467:2 = Infernal Block =  Infernal Block (#0467/2)
467:3 = Ornate Infernal Stone =  Ornate Infernal Stone (#0467/3)
467:4 = Etched Infernal Stone =  Etched Infernal Stone (#0467/4)
468:0 = Blood Stained Brick =  Blood Stained Brick (#0468/0)
468:1 = Fitted Blood Stained Stone =  Fitted Blood Stained Stone (#0468/1)
468:2 = Blood Stained Block =  Blood Stained Block (#0468/2)
468:3 = Ornate Blood Stained Stone =  Ornate Blood Stained Stone (#0468/3)
468:4 = Etched Blood Stained Stone =  Etched Blood Stained Stone (#0468/4)
469:0 = Sandy Brick =  Sandy Brick (#0469/0)
469:1 = Fitted Sandy Stone =  Fitted Sandy Stone (#0469/1)
469:2 = Sandy Block =  Sandy Block (#0469/2)
469:3 = Ornate Sandy Stone =  Ornate Sandy Stone (#0469/3)
469:4 = Etched Sandy Stone =  Etched Sandy Stone (#0469/4)
470:0 = Bleached Bone Brick =  Bleached Bone Brick (#0470/0)
470:1 = Fitted Bleached Bone Stone =  Fitted Bleached Bone Stone (#0470/1)
470:2 = Bleached Bone Block =  Bleached Bone Block (#0470/2)
470:3 = Ornate Bleached Bone Stone =  Ornate Bleached Bone Stone (#0470/3)
470:4 = Etched Bleached Bone Stone =  Etched Bleached Bone Stone (#0470/4)
471:0 = Quarried Brick =  Quarried Brick (#0471/0)
471:1 = Fitted Quarried Stone =  Fitted Quarried Stone (#0471/1)
471:2 = Quarried Block =  Quarried Block (#0471/2)
471:3 = Ornate Quarried Stone =  Ornate Quarried Stone (#0471/3)
471:4 = Etched Quarried Stone =  Etched Quarried Stone (#0471/4)
472:0 = Frost Bound Brick =  Frost Bound Brick (#0472/0)
472:1 = Fitted Frost Bound Stone =  Fitted Frost Bound Stone (#0472/1)
472:2 = Frost Bound Block =  Frost Bound Block (#0472/2)
472:3 = Ornate Frost Bound Stone =  Ornate Frost Bound Stone (#0472/3)
472:4 = Etched Frost Bound Stone =  Etched Frost Bound Stone (#0472/4)
474:0 = Strengthened Glass =  Strengthened Glass (#0474/0)
474:1 = Strengthened Glass =  Strengthened Glass (#0474/1)
474:2 = Strengthened Glass =  Strengthened Glass (#0474/2)
474:3 = Strengthened Glass =  Strengthened Glass (#0474/3)
474:4 = Strengthened Glass =  Strengthened Glass (#0474/4)
474:5 = Strengthened Glass =  Strengthened Glass (#0474/5)
474:6 = Strengthened Glass =  Strengthened Glass (#0474/6)
474:7 = Strengthened Glass =  Strengthened Glass (#0474/7)
474:8 = Strengthened Glass =  Strengthened Glass (#0474/8)
474:9 = Strengthened Glass =  Strengthened Glass (#0474/9)
474:10 = Strengthened Glass =  Strengthened Glass (#0474/10)
474:11 = Strengthened Glass =  Strengthened Glass (#0474/11)
474:12 = Strengthened Glass =  Strengthened Glass (#0474/12)
474:13 = Strengthened Glass =  Strengthened Glass (#0474/13)
474:14 = Strengthened Glass =  Strengthened Glass (#0474/14)
474:15 = Strengthened Glass =  Strengthened Glass (#0474/15)
580:0 = Terminal Glasses Bridge =  Terminal Glasses Bridge (#0580)
581:0 = Peripheral Proxy =  Peripheral Proxy (#0581)
582:0 = PIM =  PIM (#0582)
583:0 = Ticket Machine =  Ticket Machine (#0583)
650:0 = Low Voltage Solar Array =  Low Voltage Solar Array (#0650/0)
650:1 = Medium Voltage Solar Array =  Medium Voltage Solar Array (#0650/1)
650:2 = High Voltage Solar Array =  High Voltage Solar Array (#0650/2)
680:0 = MFFS Capacitor =  MFFS Capacitor (#0680)
681:0 = MFFS Defense Station =  MFFS Defense Station (#0681)
682:0 = MFFS Extractor =  MFFS Extractor (#0682)
684:0 = MFFS Secure Storage =  MFFS Secure Storage (#0684)
685:0 = MFFS Projector =  MFFS Projector (#0685)
686:0 = MFFS Security Station =  MFFS Security Station (#0686)
687:0 = MFFS Force Energy Converter =  MFFS Force Energy Converter (#0687)
688:0 = Monazit Ore =  Monazit Ore (#0688)
690:0 = MFFS Control System =  MFFS Control System (#0690)
900:0 = ME Cable - Blue =  ME Cable - Blue (#0900/0)
900:1 = ME Pattern Provider =  ME Pattern Provider (#0900/1)
900:2 = ME Controller =  ME Controller (#0900/2)
900:3 = ME Drive =  ME Drive (#0900/3)
900:4 = ME Pattern Encoder =  ME Pattern Encoder (#0900/4)
900:5 = ME Wireless Access Point =  ME Wireless Access Point (#0900/5)
900:6 = ME Access Terminal =  ME Access Terminal (#0900/6)
900:7 = ME Chest =  ME Chest (#0900/7)
900:8 = ME Interface =  ME Interface (#0900/8)
900:9 = ME Partition Editor =  ME Partition Editor (#0900/9)
900:10 = ME Cable - Black =  ME Cable - Black (#0900/10)
900:11 = ME Cable - White =  ME Cable - White (#0900/11)
900:12 = ME Cable - Brown =  ME Cable - Brown (#0900/12)
900:13 = ME Cable - Red =  ME Cable - Red (#0900/13)
900:14 = ME Cable - Yellow =  ME Cable - Yellow (#0900/14)
900:15 = ME Cable - Green =  ME Cable - Green (#0900/15)
901:0 = ME Precision Export Bus =  ME Precision Export Bus (#0901/0)
901:1 = ME Precision Import Bus =  ME Precision Import Bus (#0901/1)
901:3 = ME Crafting Terminal =  ME Crafting Terminal (#0901/3)
901:4 = ME Level Emitter =  ME Level Emitter (#0901/4)
901:5 = ME Crafting CPU =  ME Crafting CPU (#0901/5)
901:6 = ME Heat Vent =  ME Heat Vent (#0901/6)
901:7 = ME Assembler Containment Wall =  ME Assembler Containment Wall (#0901/7)
901:8 = ME Dark Cable =  ME Dark Cable (#0901/8)
901:9 = ME Storage Bus =  ME Storage Bus (#0901/9)
901:10 = ME IO Port =  ME IO Port (#0901/10)
901:11 = ME Crafting Monitor =  ME Crafting Monitor (#0901/11)
901:12 = ME Storage Monitor =  ME Storage Monitor (#0901/12)
901:13 = ME Covered Cable =  ME Covered Cable (#0901/13)
901:14 = ME Cable =  ME Cable (#0901/14)
901:15 = ME Fuzzy Storage Bus =  ME Fuzzy Storage Bus (#0901/15)
902:0 = Certus Quartz Ore =  Certus Quartz Ore (#0902/0)
902:1 = Grind Stone =  Grind Stone (#0902/1)
902:2 = Certus Quartz Block =  Certus Quartz Block (#0902/2)
903:0 = ME Fuzzy Export Bus =  ME Fuzzy Export Bus (#0903/0)
903:1 = ME Fuzzy Import Bus =  ME Fuzzy Import Bus (#0903/1)
903:2 = ME Basic Export Bus =  ME Basic Export Bus (#0903/2)
903:3 = ME Basic Import Bus =  ME Basic Import Bus (#0903/3)
903:4 = ME Transition Plane =  ME Transition Plane (#0903/4)
903:5 = Energy Cell =  Energy Cell (#0903/5)
903:6 = ME Power Relay =  ME Power Relay (#0903/6)
903:7 = ME Condenser =  ME Condenser (#0903/7)
904:0 = Advanced Detector Rail =  Advanced Detector Rail (#0904)
905:0 = Module Toggler =  Module Toggler (#0905)
906:0 = External Distributor =  External Distributor (#0906)
907:0 = Detector Manager =  Detector Manager (#0907)
908:0 = Upgrade: Batteries =  Upgrade: Batteries (#0908/0) Fuel capacity +5000 Generate 40 units of power per minute
908:1 = Upgrade: Power Crystal =  Upgrade: Power Crystal (#0908/1) Fuel capacity +15000 Generate 150 units of power per minute
908:2 = Upgrade: Module knowledge =  Upgrade: Module knowledge (#0908/2) Module assembling time -37 seconds Cart assembling time -250 seconds Assembling efficiency -1%
